1100.00,814
1100.00,558
1100.00,1111
1100.00,990
1100.00,909
1100.00,564
1100.00,1466
1100.00,1325
1100.00,1122
1100.00,880
1100.00,1235
1100.00,1250
1100.00,718
1100.00,1309
1100.00,909
1100.00,1964
1100.00,1078
1100.00,1466
1100.00,866
1100.00,940
1100.00,846
1100.00,846
1100.00,940
1100.00,1486
1100.00,901
1100.00,1309
1100.00,1392
1100.00,1803
1100.00,1466
1100.00,1250
1100.00,1375
1100.00,1028
1100.00,1964
1100.00,743
1100.00,1571
1100.00,948
1100.00,1134
1100.00,814
1100.00,679
1100.00,1250
1100.00,1067
1100.00,839
1100.00,814
1100.00,1309
1100.00,1571
1100.00,1803
1100.00,1122
1100.00,1392
1100.00,1170
1100.00,1571
1100.00,714
1100.00,1486
1100.00,1486
1100.00,1067
1100.00,460
1100.00,1250
1100.00,709
1100.00,1122
1100.00,1549
1100.00,1309
1100.00,1250
1100.00,880
1100.00,948
1100.00,1182
1100.00,758
1100.00,1666
1100.00,873
1100.00,1182
1100.00,940
1100.00,1067
1100.00,1182
1100.00,1466
1100.00,1486
1100.00,1666
1100.00,1571
1100.00,1309
1100.00,1309
1100.00,1182
1100.00,1309
1100.00,1235
1100.00,1028
1100.00,714
1100.00,982
1100.00,940
1100.00,1392
1100.00,940
1100.00,1692
1100.00,1571
1100.00,839
1100.00,785
1100.00,839
1100.00,674
1100.00,591
1100.00,948
1100.00,1122
1100.00,940
1100.00,709
1100.00,940
1100.00,1803
1100.00,1309
1100.00,1466
1100.00,1182
1100.00,1067
1100.00,1571
1100.00,1803
1100.00,1486
1100.00,1466
1100.00,1666
1100.00,948
1100.00,1078
1100.00,1067
1100.00,1122
1100.00,1392
1100.00,785
1100.00,1549
1100.00,1964
1100.00,1571
1100.00,1250
1100.00,1028
1100.00,1122
1100.00,846
1100.00,1122
1100.00,1067
1100.00,1067
1100.00,1309
1100.00,1122
1100.00,639
1100.00,948
1100.00,982
1100.00,901
1100.00,873
1100.00,670
1100.00,1803
1100.00,1309
1100.00,1309
1100.00,1666
1100.00,1028
1100.00,1122
1100.00,1111
1100.00,1692
1100.00,1466
1100.00,1486
1100.00,982
1100.00,839
1100.00,1067
1100.00,1571
1100.00,1666
1100.00,763
1100.00,873
1100.00,940
1100.00,1122
1100.00,1549
1100.00,1833
1100.00,1666
1100.00,679
1100.00,846
1100.00,1067
1100.00,1803
1100.00,1122
1100.00,1392
1100.00,1466
1100.00,1028
1100.00,1067
1100.00,1078
1100.00,1309
1100.00,909
1100.00,1486
1100.00,1018
1100.00,718
1100.00,820
1100.00,1666
1100.00,1833
1100.00,982
1100.00,1929
1100.00,1122
1100.00,1122
1100.00,873
1100.00,1309
1100.00,1392
1100.00,916
1100.00,1466
1100.00,880
1100.00,2156
1100.00,808
1100.00,1692
1100.00,1122
1100.00,1571
1100.00,785
1100.00,1182
1100.00,1392
1100.00,2115
1100.00,1325
1100.00,948
1100.00,909
1100.00,873
1100.00,1294
1100.00,1078
1100.00,1111
1100.00,1486
1100.00,758
1100.00,564
1100.00,643
1100.00,1309
1100.00,1375
1100.00,1486
1100.00,1170
1100.00,785
1100.00,1375
1100.00,1250
1100.00,1571
1100.00,1325
1100.00,733
1100.00,1067
1100.00,948
1100.00,1170
1100.00,1392
1100.00,714
1100.00,1571
1100.00,1486
1100.00,814
1100.00,714
1100.00,1571
1100.00,1134
1100.00,846
1100.00,1028
1100.00,511
1100.00,733
1100.00,948
1100.00,1325
1100.00,909
1100.00,901
1100.00,758
1100.00,1692
1100.00,1170
1100.00,866
1100.00,873
1100.00,738
1100.00,1250
1100.00,948
1100.00,873
1100.00,558
1100.00,1571
1100.00,625
1100.00,839
1100.00,1392
1100.00,1833
1100.00,709
1100.00,1964
1100.00,1122
1100.00,982
1100.00,1067
1100.00,502
1100.00,1309
1100.00,2156
1100.00,791
1100.00,839
1100.00,1964
1100.00,1028
1100.00,880
1100.00,572
1100.00,1122
1100.00,1028
1100.00,1078
1100.00,916
1100.00,1182
1100.00,763
1100.00,780
1100.00,1571
1100.00,2156
1100.00,982
1100.00,1466
1100.00,814
1100.00,1122
1100.00,1929
1100.00,1571
1100.00,1182
1100.00,1122
1100.00,1122
1100.00,814
1100.00,814
1100.00,1250
1100.00,982
1100.00,1134
1100.00,1803
1100.00,1028
1100.00,866
1100.00,990
1100.00,632
1100.00,1235
1100.00,1571
1100.00,1466
1100.00,1182
1100.00,1571
1100.00,1466
1100.00,1134
1100.00,625
1100.00,1466
1100.00,1067
1100.00,791
1100.00,1078
1100.00,814
1100.00,880
1100.00,791
1100.00,814
1100.00,880
1100.00,1067
1100.00,1122
1100.00,1392
1100.00,1466
1100.00,1309
1100.00,1309
1100.00,1571
1100.00,1078
1100.00,1134
1100.00,1078
1100.00,1235
1100.00,956
1100.00,839
1100.00,909
1100.00,873
1100.00,1325
1100.00,763
1100.00,1182
1100.00,718
1100.00,1466
1100.00,743
1100.00,696
1100.00,1250
1100.00,714
1100.00,1392
1100.00,1067
1100.00,1803
1100.00,2156
1100.00,1375
1100.00,1571
1100.00,1803
1100.00,990
1100.00,1122
1100.00,594
1100.00,1392
1100.00,1466
1100.00,1833
1100.00,1235
